newid,mod,storia,good,quartile,pct_caption,pct_face,pct_none
IT03,images,delfino,True,4,85.81818181818181,11.272727272727273,2.909090909090909
IT02,images,delfino,True,1,82.93333333333334,14.399999999999999,2.666666666666667
IT02,images,delfino,True,2,93.58288770053476,5.347593582887701,1.06951871657754
IT02,images,delfino,True,3,93.5656836461126,5.093833780160858,1.3404825737265416
IT02,images,delfino,True,4,80.6970509383378,17.426273458445042,1.876675603217158
IT03,text,panda,True,1,81.1881188118812,18.48184818481848,0.33003300330033003
IT03,text,panda,True,2,100.0,0.0,0.0
IT03,text,panda,True,3,95.47038327526133,3.1358885017421603,1.3937282229965158
IT03,text,panda,True,4,75.53191489361703,14.893617021276595,9.574468085106384
IT02,text,panda,True,1,18.333333333333332,4.0,77.66666666666666
IT02,text,panda,True,2,1.7123287671232876,0.3424657534246575,97.94520547945206
IT02,text,panda,True,3,3.6544850498338874,0.6644518272425249,95.68106312292359
IT02,text,panda,True,4,11.295681063122924,0.9966777408637874,87.70764119601328
IT04,images,volpe e boscaiolo,True,1,76.71957671957672,22.75132275132275,0.5291005291005291
IT04,images,volpe e boscaiolo,True,2,97.3404255319149,1.0638297872340425,1.5957446808510638
IT04,images,volpe e boscaiolo,True,3,99.46524064171123,0.0,0.53475935828877
IT04,images,volpe e boscaiolo,True,4,93.08510638297872,4.25531914893617,2.6595744680851063
TI12,images,panda,True,1,8.91089108910891,4.62046204620462,86.46864686468648
TI12,images,panda,True,2,0.0,0.0,100.0
TI12,images,panda,True,3,0.33222591362126247,2.3255813953488373,97.34219269102991
TI12,images,panda,True,4,0.33222591362126247,1.9933554817275747,97.67441860465115
TI27,images,sbadiglio,True,1,0.0,0.0,100.0
TI27,images,sbadiglio,True,2,0.0,0.0,100.0
TI27,images,sbadiglio,True,3,0.0,0.0,100.0
TI27,images,sbadiglio,True,4,0.0,0.0,100.0
IT04,text,tappeto,False,4,100.0,0.0,0.0
IT05,text,tappeto,True,1,45.714285714285715,24.0,30.28571428571429
IT05,text,tappeto,True,2,70.23809523809523,13.095238095238097,16.666666666666664
IT05,text,tappeto,True,3,23.214285714285715,50.0,26.785714285714285
IT05,text,tappeto,True,4,55.952380952380956,18.452380952380953,25.595238095238095
IT06,images,gatta,True,1,73.02631578947368,25.986842105263158,0.9868421052631579
IT06,images,gatta,True,2,100.0,0.0,0.0
IT06,images,gatta,True,3,98.98989898989899,1.0101010101010102,0.0
IT06,images,gatta,True,4,89.56228956228956,9.427609427609427,1.0101010101010102
IT07,images,delfino,True,1,45.53846153846154,0.3076923076923077,54.15384615384615
IT07,images,delfino,True,2,37.704918032786885,0.0,62.295081967213115
IT07,images,delfino,True,3,41.01876675603217,0.2680965147453083,58.71313672922251
IT07,images,delfino,True,4,50.41095890410959,0.273972602739726,49.31506849315068
IT06,text,sbadiglio,True,1,81.02766798418972,15.019762845849801,3.9525691699604746
IT06,text,sbadiglio,True,2,87.79527559055119,9.84251968503937,2.3622047244094486
IT06,text,sbadiglio,True,3,86.16600790513834,12.25296442687747,1.5810276679841897
IT06,text,sbadiglio,True,4,77.07509881422925,20.948616600790515,1.9762845849802373
IT07,text,panda,True,1,52.94117647058824,42.016806722689076,5.042016806722689
IT07,text,panda,True,2,61.29032258064516,36.29032258064516,2.4193548387096775
IT07,text,panda,True,3,99.19028340080972,0.0,0.8097165991902834
IT07,text,panda,True,4,75.0,22.5,2.5
TI17,images,sbadiglio,True,1,73.51778656126481,17.786561264822133,8.695652173913043
TI17,images,sbadiglio,True,2,52.362204724409445,5.511811023622047,42.125984251968504
TI17,images,sbadiglio,True,3,54.87804878048781,21.951219512195124,23.170731707317074
TI17,images,sbadiglio,True,4,53.75494071146245,28.85375494071146,17.391304347826086
IT10,images,volpe e boscaiolo,True,1,53.76344086021505,41.39784946236559,4.838709677419355
IT10,images,volpe e boscaiolo,True,2,47.87234042553192,50.53191489361703,1.5957446808510638
IT10,images,volpe e boscaiolo,True,3,26.373626373626376,70.87912087912088,2.7472527472527473
IT10,images,volpe e boscaiolo,True,4,39.226519337016576,59.11602209944752,1.6574585635359116
IT09,text,tappeto,True,1,0.0,67.27272727272727,32.72727272727273
IT09,text,tappeto,True,2,0.0,74.68354430379746,25.31645569620253
IT09,text,tappeto,True,3,0.0,60.544217687074834,39.455782312925166
IT09,text,tappeto,True,4,0.0,42.168674698795186,57.831325301204814
IT10,text,tappeto,True,1,9.411764705882353,83.52941176470588,7.0588235294117645
IT10,text,tappeto,True,2,36.30952380952381,50.0,13.690476190476192
IT10,text,tappeto,True,3,15.476190476190476,82.14285714285714,2.380952380952381
IT10,text,tappeto,True,4,26.34730538922156,72.45508982035929,1.1976047904191618
IT11,images,volpe e boscaiolo,True,1,68.98395721925134,29.946524064171122,1.06951871657754
IT11,images,volpe e boscaiolo,True,2,99.37888198757764,0.0,0.6211180124223602
IT11,images,volpe e boscaiolo,True,3,96.79144385026738,2.6737967914438503,0.53475935828877
IT11,images,volpe e boscaiolo,True,4,79.7872340425532,18.617021276595743,1.5957446808510638
IT12,images,volpe e boscaiolo,True,1,100.0,0.0,0.0
IT12,images,volpe e boscaiolo,True,2,100.0,0.0,0.0
IT12,images,volpe e boscaiolo,True,3,100.0,0.0,0.0
IT12,images,volpe e boscaiolo,True,4,100.0,0.0,0.0
TI20,images,tappeto,True,1,45.3125,51.5625,3.125
TI20,images,tappeto,True,2,56.81818181818182,28.40909090909091,14.772727272727273
TI20,images,tappeto,True,3,69.51219512195121,10.975609756097562,19.51219512195122
TI20,images,tappeto,True,4,11.627906976744185,59.30232558139535,29.069767441860467
IT12,text,tappeto,True,1,53.65853658536586,39.63414634146341,6.707317073170732
IT12,text,tappeto,True,2,58.82352941176471,18.30065359477124,22.875816993464053
